,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
2964,M,0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,9
1525,M,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,11
2251,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13
374,M,0.685,0.52,0.15,1.3430000000000002,0.4635,0.292,0.4,13
2274,M,0.695,0.57,0.2,2.033,0.7509999999999999,0.4255,0.685,15
3126,M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11
939,I,0.46,0.36,0.1,0.4635,0.2325,0.09300000000000001,0.115,7
2684,F,0.625,0.49,0.155,1.115,0.484,0.27699999999999997,0.3095,9
2920,M,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10
2147,M,0.46,0.375,0.135,0.4935,0.18600000000000003,0.0845,0.17,12
2665,F,0.575,0.48,0.15,0.897,0.4235,0.1905,0.248,8
2068,F,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231,9
529,M,0.385,0.3,0.095,0.24,0.0885,0.059000000000000004,0.085,9
2606,M,0.625,0.48,0.17,1.3555,0.6709999999999999,0.268,0.3385,10
636,M,0.38,0.235,0.1,0.258,0.1055,0.054000000000000006,0.08,7
1269,I,0.47,0.365,0.1,0.41100000000000003,0.175,0.0855,0.135,8
185,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
2666,M,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,8
2213,M,0.63,0.51,0.23,1.5390000000000001,0.5635,0.2815,0.57,17
2413,F,0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17,12
1797,I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8
1441,I,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6
1535,I,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,6
1273,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
607,I,0.485,0.37,0.13,0.45799999999999996,0.18100000000000002,0.113,0.136,10
1712,F,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,9
955,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
3240,M,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15
2963,F,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,12
3864,I,0.32,0.235,0.065,0.1385,0.057999999999999996,0.0225,0.05,5
2071,F,0.565,0.44,0.135,0.83,0.39299999999999996,0.1735,0.23800000000000002,9
3571,F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9
1977,F,0.7,0.575,0.205,1.7730000000000001,0.605,0.447,0.5379999999999999,13
158,F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
1748,F,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11
2473,F,0.615,0.47,0.175,1.2985,0.5135,0.34299999999999997,0.32,14
902,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037000000000000005,5
352,M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12
1230,I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7
3707,M,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
2140,F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10
444,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
4129,I,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,10
754,M,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
1737,F,0.67,0.55,0.155,1.5659999999999998,0.858,0.33899999999999997,0.354,10
4159,F,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,9
311,M,0.56,0.44,0.14,0.971,0.44299999999999995,0.2045,0.265,14
548,F,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12
2815,I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7
4124,I,0.5,0.385,0.12,0.516,0.19699999999999998,0.1305,0.165,8
306,I,0.165,0.12,0.03,0.0215,0.006999999999999999,0.005,0.005,3
694,I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4
1927,M,0.615,0.47,0.15,1.0875,0.4975,0.28300000000000003,0.2685,9
3543,I,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,8
749,M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
2505,I,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6
1266,I,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9
2293,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6
2468,F,0.37,0.275,0.08,0.22699999999999998,0.09300000000000001,0.0625,0.07,8
2767,I,0.56,0.44,0.14,0.825,0.402,0.139,0.245,10
970,F,0.515,0.43,0.14,0.8340000000000001,0.36700000000000005,0.2,0.23,8
13,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
873,F,0.625,0.49,0.155,1.2085,0.465,0.162,0.41100000000000003,11
808,F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
514,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
3402,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
409,M,0.57,0.44,0.095,0.8270000000000001,0.3395,0.2215,0.235,8
2379,F,0.36,0.265,0.09,0.2165,0.096,0.037000000000000005,0.0735,10
3188,M,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
207,I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
3547,I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9
458,I,0.415,0.31,0.11,0.2965,0.12300000000000001,0.057,0.0995,10
2426,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
2562,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
3088,I,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8
3699,M,0.65,0.525,0.19,1.3685,0.5975,0.29600000000000004,0.4,11
3593,F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8
1883,M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.19399999999999998,8
1713,M,0.645,0.5,0.175,1.3375,0.5539999999999999,0.308,0.415,10
2754,I,0.525,0.385,0.13,0.607,0.2355,0.125,0.195,8
2372,F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12
552,I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12
3944,M,0.55,0.44,0.16,0.991,0.348,0.168,0.375,20
3871,F,0.45,0.36,0.11,0.447,0.203,0.08199999999999999,0.13,12
1925,F,0.61,0.47,0.165,1.1785,0.5660000000000001,0.2785,0.294,11
634,M,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9
4033,I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10
316,F,0.635,0.535,0.19,1.242,0.5760000000000001,0.2475,0.39,14
2987,M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10
3752,I,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,8
1328,I,0.57,0.45,0.145,0.7509999999999999,0.2825,0.2195,0.2215,10
427,M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19
2357,M,0.585,0.455,0.125,1.0270000000000001,0.391,0.212,0.25,17
105,F,0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235,12
142,M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
2169,I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4
3513,F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9
3347,M,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.10400000000000001,11
2241,F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11
2381,M,0.155,0.115,0.025,0.024,0.009000000000000001,0.005,0.0075,5
2163,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9
1949,M,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11
3779,M,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314,10
2272,M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15
3960,M,0.69,0.55,0.195,1.777,0.769,0.38,0.4305,11
4056,M,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,11
4138,M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11
1951,F,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,10
2850,M,0.63,0.485,0.16,1.2429999999999999,0.623,0.275,0.3,10
3106,I,0.3,0.22,0.065,0.1235,0.059000000000000004,0.026000000000000002,0.0315,5
4142,M,0.655,0.525,0.18,1.402,0.624,0.2935,0.365,13
1109,M,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9
2510,I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,8
591,F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9
3946,M,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13
1576,I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.14300000000000002,8
2752,M,0.515,0.41,0.14,0.7355,0.3065,0.13699999999999998,0.2,7
213,M,0.5,0.405,0.14,0.6155,0.24100000000000002,0.1355,0.205,9
778,M,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15
3203,F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17
4028,I,0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,8
2043,I,0.395,0.295,0.1,0.293,0.14,0.062,0.08199999999999999,7
3504,F,0.62,0.51,0.18,1.2329999999999999,0.5920000000000001,0.27399999999999997,0.322,10
3912,I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
2661,M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9
1567,I,0.465,0.345,0.11,0.39299999999999996,0.1825,0.0735,0.12,8
3907,I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13
4175,F,0.625,0.485,0.15,1.0945,0.531,0.261,0.29600000000000004,10
3332,I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13
3842,F,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,9
1343,M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.27399999999999997,10
2013,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
273,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
71,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
1087,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8
394,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6
583,I,0.46,0.355,0.14,0.4935,0.21600000000000003,0.133,0.115,13
1367,M,0.61,0.48,0.17,1.137,0.4565,0.29,0.34700000000000003,10
2844,M,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,10
2862,M,0.735,0.57,0.21,2.2355,1.1705,0.46299999999999997,0.5315,10
3883,M,0.54,0.425,0.12,0.8170000000000001,0.2945,0.153,0.195,10
3947,M,0.475,0.365,0.14,0.6175,0.20199999999999999,0.1445,0.19,16
2471,M,0.565,0.44,0.175,1.122,0.39299999999999996,0.2,0.375,20
1763,M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
3204,F,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15
1259,I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,7
2253,F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11
526,M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3
377,F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10
1559,I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,7
2667,F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7
1963,M,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,9
3799,F,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
348,I,0.375,0.305,0.115,0.2715,0.092,0.07400000000000001,0.09,8
2246,F,0.38,0.325,0.11,0.3105,0.12,0.07400000000000001,0.105,10
2921,F,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,9
1709,M,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9
1050,F,0.715,0.525,0.185,1.56,0.6655,0.38299999999999995,0.405,11
590,I,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,13
519,F,0.345,0.25,0.09,0.203,0.078,0.059000000000000004,0.055,6
3997,I,0.36,0.27,0.09,0.2075,0.098,0.039,0.062,6
2872,I,0.4,0.315,0.09,0.3245,0.151,0.073,0.08800000000000001,8
1083,I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7
3919,I,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11
3866,F,0.525,0.43,0.165,0.7170000000000001,0.289,0.1745,0.195,10
1294,I,0.52,0.395,0.125,0.6629999999999999,0.3005,0.131,0.1905,9
1809,F,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8
791,F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
792,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
2969,M,0.685,0.505,0.19,1.5330000000000001,0.667,0.4055,0.41,10
1980,F,0.705,0.535,0.22,1.8659999999999999,0.929,0.3835,0.4395,10
2720,I,0.37,0.275,0.09,0.2065,0.096,0.0395,0.057999999999999996,7
2364,F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15
1530,M,0.75,0.55,0.18,1.893,0.9420000000000001,0.397,0.445,11
1410,F,0.665,0.53,0.18,1.4909999999999999,0.6345,0.342,0.435,10
3822,F,0.605,0.48,0.175,1.1685,0.4815,0.2305,0.35600000000000004,9
3371,M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
83,M,0.595,0.475,0.16,1.3175,0.408,0.23399999999999999,0.58,21
4115,F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10
20,M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
2390,F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16
1562,I,0.45,0.335,0.11,0.4195,0.18100000000000002,0.085,0.1345,7
973,M,0.525,0.4,0.14,0.7325,0.33399999999999996,0.1575,0.17,11
1710,M,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745,10
2765,I,0.555,0.435,0.145,0.6975,0.262,0.1575,0.24,11
1098,M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7
2916,M,0.595,0.47,0.155,1.2015,0.49200000000000005,0.3865,0.265,10
886,F,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
2574,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
3285,F,0.665,0.57,0.185,1.5219999999999998,0.6965,0.3025,0.405,13
3793,F,0.665,0.525,0.18,1.5785,0.6779999999999999,0.22899999999999998,0.456,14
737,F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12
1453,I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
2759,F,0.545,0.44,0.15,0.9475,0.366,0.239,0.275,8
3754,I,0.485,0.37,0.14,0.5065,0.2425,0.08800000000000001,0.1465,8
2126,F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10
906,I,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6
2555,I,0.37,0.29,0.08,0.2545,0.10800000000000001,0.0565,0.07,6
3176,F,0.49,0.38,0.13,0.539,0.22899999999999998,0.1355,0.165,12
947,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
2658,I,0.55,0.42,0.13,0.636,0.294,0.14400000000000002,0.1755,8
2829,I,0.52,0.395,0.145,0.77,0.424,0.142,0.1895,7
715,I,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7
3281,M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
686,F,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13
3636,I,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8
2353,F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17
2257,M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13
3131,M,0.675,0.505,0.16,1.5319999999999998,0.74,0.35700000000000004,0.3815,11
21,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
885,F,0.67,0.585,0.16,1.3090000000000002,0.5445,0.2945,0.413,10
917,I,0.41,0.31,0.09,0.33899999999999997,0.155,0.0695,0.09,7
2957,F,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11
3526,I,0.335,0.26,0.085,0.192,0.09699999999999999,0.03,0.054000000000000006,6
4002,I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8
1265,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7
483,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19
3851,M,0.56,0.44,0.13,0.8255,0.2425,0.20199999999999999,0.285,10
3682,M,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11
277,M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18
988,M,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
2084,F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12
1245,I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
2382,I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
571,I,0.45,0.345,0.135,0.44299999999999995,0.1975,0.0875,0.1175,14
1435,I,0.385,0.3,0.09,0.247,0.1225,0.044000000000000004,0.0675,5
993,M,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10
2411,I,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,9
2407,I,0.625,0.43,0.175,1.411,0.5720000000000001,0.297,0.395,12
585,I,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11
1349,M,0.59,0.455,0.155,0.8855,0.38799999999999996,0.188,0.275,10
1007,M,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,11
674,F,0.49,0.385,0.15,0.7865,0.24100000000000002,0.14,0.24,23
447,M,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16
3573,F,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,10
3187,F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
2064,M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8
3368,I,0.61,0.48,0.165,1.097,0.4215,0.264,0.335,13
3081,F,0.73,0.55,0.205,1.9080000000000001,0.5415,0.3565,0.5965,14
1690,M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9
3514,M,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10
1247,I,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8
1985,M,0.76,0.605,0.215,2.173,0.8009999999999999,0.4915,0.6459999999999999,13
294,M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26
1547,I,0.38,0.29,0.1,0.237,0.10800000000000001,0.0395,0.08199999999999999,6
2012,I,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,7
588,M,0.45,0.335,0.14,0.4625,0.16399999999999998,0.076,0.15,14
2403,M,0.29,0.225,0.08,0.1295,0.0535,0.026000000000000002,0.045,10
2129,M,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12
3257,M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
3164,F,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13
425,M,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13
1054,I,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011000000000000001,3
3542,I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8
556,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
3211,F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10
2740,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8
3770,I,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9
3767,M,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10
2868,I,0.335,0.26,0.09,0.1965,0.0875,0.040999999999999995,0.055999999999999994,7
1193,M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
1716,F,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
2876,I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7
3836,M,0.41,0.325,0.1,0.3555,0.146,0.07200000000000001,0.105,9
2400,I,0.445,0.33,0.1,0.43700000000000006,0.163,0.0755,0.17,13
2139,M,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14
2383,F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16
3952,I,0.315,0.235,0.08,0.18,0.08,0.045,0.047,5
1285,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7
2651,I,0.51,0.385,0.15,0.625,0.3095,0.11900000000000001,0.1725,8
2676,F,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,10
3920,M,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8
2087,M,0.72,0.585,0.22,1.9140000000000001,0.9155,0.44799999999999995,0.479,11
1889,M,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7
1591,M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
3753,I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
2162,F,0.71,0.565,0.195,1.817,0.785,0.49200000000000005,0.49,11
2396,I,0.625,0.465,0.155,0.972,0.40399999999999997,0.1845,0.35,14
3039,M,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,10
2271,F,0.52,0.41,0.17,0.8705,0.3735,0.21899999999999997,0.25,14
3426,M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13
1137,F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10
2711,I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3
4000,I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,7
4021,F,0.69,0.58,0.195,1.6580000000000001,0.708,0.3615,0.4715,10
1711,M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9
3516,F,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,11
453,F,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11
913,I,0.37,0.29,0.095,0.249,0.1045,0.057999999999999996,0.067,6
3585,M,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,9
1199,F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10
1274,I,0.475,0.36,0.11,0.49200000000000005,0.21100000000000002,0.11,0.15,8
2375,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10
37,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
974,F,0.53,0.425,0.13,0.7585,0.325,0.19699999999999998,0.205,8
983,F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
3357,I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8
1418,M,0.705,0.555,0.215,2.141,1.0465,0.38299999999999995,0.528,11
1560,I,0.435,0.325,0.11,0.36700000000000005,0.1595,0.08,0.105,6
39,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
1486,F,0.595,0.455,0.16,1.04,0.452,0.2655,0.28800000000000003,9
3460,M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
169,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
1355,F,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11
2542,F,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095,14
3825,M,0.625,0.47,0.17,1.1665,0.4605,0.2565,0.3945,11
2780,M,0.59,0.475,0.14,0.977,0.4625,0.2025,0.275,10
2794,F,0.63,0.475,0.155,1.0005,0.452,0.252,0.265,10
1640,F,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8
1290,I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7
1380,M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9
1933,M,0.62,0.495,0.195,1.5145,0.579,0.34600000000000003,0.5195,15
579,F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17
2990,F,0.59,0.44,0.14,1.0070000000000001,0.4775,0.2105,0.2925,9
2030,M,0.59,0.465,0.165,1.115,0.5165,0.273,0.275,10
892,I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6
780,M,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13
159,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
2,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
3612,M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10
3507,F,0.64,0.5,0.165,1.1635,0.5539999999999999,0.239,0.32,11
849,M,0.55,0.45,0.15,1.0145,0.40700000000000003,0.2015,0.2875,10
2466,M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9
3850,F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7
1596,I,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7
1776,M,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
1913,M,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9
1043,M,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12
1544,I,0.37,0.27,0.095,0.2175,0.09699999999999999,0.046,0.065,6
3055,F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,11
53,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
1796,M,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10
1911,M,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10
3337,I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15
2843,M,0.6,0.45,0.16,1.1420000000000001,0.539,0.225,0.307,10
3852,M,0.55,0.41,0.15,0.785,0.282,0.18600000000000003,0.275,12
824,I,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7
3805,M,0.425,0.305,0.11,0.359,0.17300000000000001,0.0875,0.0975,9
1389,M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
3484,I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8
4100,F,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9
1607,I,0.54,0.425,0.135,0.6859999999999999,0.3475,0.1545,0.213,8
1594,I,0.525,0.4,0.14,0.654,0.305,0.16,0.16899999999999998,7
771,I,0.485,0.375,0.14,0.521,0.2,0.12300000000000001,0.17,8
2273,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13
1868,I,0.525,0.405,0.145,0.6965,0.3045,0.1535,0.21,8
1085,I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7
2884,I,0.505,0.425,0.125,0.6115,0.245,0.1375,0.2,9
1325,F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8
1463,M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9
806,I,0.28,0.205,0.07,0.1015,0.040999999999999995,0.03,0.03,6
2610,F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9
2974,M,0.745,0.575,0.2,1.8840000000000001,0.9540000000000001,0.336,0.495,12
2108,M,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27
3011,I,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,8
4137,M,0.63,0.505,0.155,1.105,0.49200000000000005,0.226,0.325,11
2234,F,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14
963,M,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9
398,M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12
3985,M,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,11
704,M,0.4,0.3,0.125,0.41700000000000004,0.191,0.09,0.1175,9
431,M,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20
292,M,0.61,0.475,0.165,1.1159999999999999,0.428,0.2205,0.315,15
